Language_area	Surname_Name	Pseudonyms	Year_Birth	Year_Death	Nationality	Gender	Journals
DE	Einsiedel, Wolfgang von	NONE	1903	1967	DE	M	ME; MO
DE	Elster, Hanns Martin	NONE	1888	1983	DE	M	GT
DE	Emmerich, Leo	NONE	Missing	Missing	DE	M	ME
DE	Enzensberger, Christian	NONE	1931	2009	DE	M	ME
DE	Enzensberger, Hans Magnus	Enzensberger, H. M.; Thalmayr, Andreas; Quilt, Linda; Ambras, Elisabeth; Pellizzi, Giorgio; Pfaff, Benedikt; Buddensiek, Trevisa; Brezengang, Serenus M.	1929	Missing	DE	M	ME
DE	Erné, Nino	Bland, Gur	1921	1994	DE	M	ME
DE	Escher, Stefan W.	NONE	Missing	Missing	Missing	M	MO
DE	Faiß, Ottmar	NONE	Missing	Missing	Missing	M	NU
DE	Farny, Erika	NONE	1932	Missing	DE	F	ME
DE	Federmann, Reinhard	NONE	1923	1976	AT	M	ME; MO
DE	Feist, Hans	NONE	1887	1952	DE	M	MO
DE	Fischer, Georg	NONE	Missing	Missing	Missing	M	GT
DE	Fischer-Wernecke, Elisabeth	NONE	Missing	Missing	Missing	F	MO
DE	Flesch-Brunningen, Hans	Bruning, Johannes von; Brun, Vincent; Flesch-Brun	1895	1981	AT	M	MO
DE	Frank, Rudolf	Frank, William G.	1886	1979	DE	M	NU
DE	Frank, William G.	NONE	Missing	Missing	Missing	M	NU
DE	Franz, M. A. von	NONE	Missing	Missing	Missing	Missing	ME
DE	Franzen, Erich	NONE	1892	1961	DE	M	ME; MO
DE	Frenzel, Herbert	NONE	1908	1995	DE	M	ME
DE	Fried, Erich	NONE	1921	1988	AT; GB	M	ME; NU
DE	Fritz, Karl Egon	Vietta, Egon	1903	1959	DE	M	GT
DE	Fromm, Hans	NONE	1919	2008	DE	M	GT
DE	Furreg, Herbert	NONE	1897	1958	AT	M	GT
DE	Gal, Oda von	NONE	1919	Missing	DE	F	WA
DE	George, Stefan	NONE	1868	1933	DE	M	NU
DE	Gerhard, Karl	NONE	Missing	Missing	Missing	M	GT
DE	Gerhardt, Renate	NONE	1926	2017	Missing	F	ME
DE	Gescher-Ringelnatz, Leonharda	Pieper, Leonharda; Muschelkalk; Gescher-Ringelnatz, Leonharda	1898	1977	DE	F	MO
DE	Gillischewski, Ruth	NONE	Missing	Missing	Missing	F	MO
DE	Glaeser, Ernst	Ditschler, Anton; Meschede, Erich; Ruppel, Alexander; Töpfer, Ernst	1902	1963	DE	M	KA
DE	Gradaus, Hans	NONE	Missing	Missing	Missing	M	GT
DE	Granzow, Brigitte	NONE	Missing	Missing	Missing	F	ME
DE	Gregor, Ulrich	NONE	1932	Missing	DE	M	MO
DE	Grivannes, Marcelle	NONE	Missing	Missing	Missing	F	UM; GT
DE	Grossmann, Walter	NONE	Missing	Missing	Missing	M	NU
DE	Grote, Gertrud	NONE	Missing	Missing	Missing	F	MO
DE	Guggenheim, Werner Johannes	NONE	1895	1946	CH	M	MO
DE	Günther, Johann von	Guenther, Johann von	1886	1973	DE	M	GT
DE	Guth, Otto H.	NONE	Missing	Missing	Missing	M	MO
DE	Güttinger, Fritz	NONE	1907	1992	CH	M	MO
DE	Guttmann, Simon	Guttmann, Wilhelm Simon	1891	1990	DE	M	NU
DE	Haas, Willy	NONE	1891	1973	DE	M	NU
DE	Hackel, M.	NONE	Missing	Missing	Missing	Missing	MO
DE	Hagen, Friedrich	NONE	1903	1979	DE	M	UM
DE	Hagy, Livia	NONE	Missing	Missing	Missing	F	GT
DE	Hahn, Josef	NONE	1912	1991	DE	M	MO
DE	Halm, Wolfgang	NONE	Missing	Missing	DE	M	ME
DE	Hansen, Kurt Heinrich	NONE	1913	1987	DE	M	ME
DE	Hardekopf, Ferdinand	NONE	1876	1954	DE	M	MO
DE	Hardt, Ernst	NONE	1876	1947	DE	M	ME
DE	Harpprecht, Klaus	NONE	1927	2016	DE	M	MO
DE	Hasenclever, Walter	NONE	1910	1992	DE; US	M	MO; ME
DE	Hausenstein, Wilhelm	NONE	1882	1957	DE	M	ME; WA; GT
DE	Hausherr, Ina	NONE	Missing	Missing	Missing	F	MO
DE	Hausser, Hans H.	NONE	Missing	Missing	Missing	M	KA
DE	Heidelberger, Ernst	NONE	1908	Missing	DE	M	UM
DE	Heidelberger, Gertrud	NONE	1905	Missing	DE	F	UM
DE	Heidelberger, T.	NONE	Missing	Missing	DE	Missing	UM
