Language_area	Surname_Name	Pseudonyms	Year_Birth	Year_Death	Nationality	Gender	Journals
DE	Wahl, Eduard	NONE	1903	1985	DE	M	WA
DE	Walter, Fritz	NONE	Missing	Missing	Missing	M	ME
DE	Walter, Reinhold von	NONE	1882	1965	DE; RU	M	MO
DE	Walther, E.	NONE	Missing	Missing	Missing	Missing	ME
DE	Wasmuth, Ewald	NONE	1890	1963	DE	M	WA
DE	Weber, Alfred	NONE	1925	2006	DE	M	MO
DE	Weber, Ulrich	NONE	Missing	Missing	Missing	M	ME
DE	Weiler, Karl	NONE	Missing	Missing	Missing	M	GT
DE	Weinert, Hermann Karl	NONE	1909	1974	DE	M	GT
DE	Werner, Hans-Erich	NONE	Missing	Missing	Missing	M	GT
DE	West, Robert	NONE	Missing	Missing	Missing	M	MO
DE	Wiemer, Horst	NONE	Missing	Missing	Missing	M	ME
DE	Willinsky, Grete	NONE	1906	1983	DE	F	KA
DE	Winger, Ilse	NONE	Missing	Missing	Missing	F	ME
DE	Winterfeld, Hans Jürgen von	NONE	1921	2008	DE	M	ME
DE	Wollenberg, E.	NONE	Missing	Missing	Missing	Missing	UM
DE	Wollf, Karl	NONE	1876	1952	DE	M	NU
DE	Wurzian, Heidi	NONE	Missing	Missing	Missing	F	WA
DE	Wuthenow, Ralph Rainer	NONE	1928	2013	DE	M	ME
DE	Wydenbruck, Nora	NONE	1894	1959	AT	F	ME; GT
DE	Zahn-Harnack, Agnes von	NONE	1884	1950	DE	F	NU
DE	Zapp, Hanns Edgar	NONE	1890	Missing	Missing	M	KA
DE	Zedtwiz, Margret	NONE	Missing	Missing	Missing	F	MO
DE	Zielesch, Elisabeth	Zielesch, Li	Missing	Missing	Missing	F	MO
DE	Zielesch, Fritz	NONE	Missing	Missing	Missing	M	MO
DE	Zimmer, Dieter E.	NONE	1934	2020	DE	M	ME
DE	Ziwutschka, Josef	NONE	Missing	Missing	AT	M	ME
