Language_area	Journal	Year	Vol	No	Listed_Translator	Translator	Author	Title	Genre	SL	TL
DE	GT	1946	1	1	Hausenstein, Wilhelm	Hausenstein, Wilhelm	Baudelaire, Charles	Gedicht: Der fröhliche Leichnam	Poetry	FR	DE
DE	GT	1946	1	1	Hausenstein, Wilhelm	Hausenstein, Wilhelm	Baudelaire, Charles	Gedicht: Der schlechte Mönch	Poetry	FR	DE
DE	GT	1946	1	1	Hausenstein, Wilhelm	Hausenstein, Wilhelm	Baudelaire, Charles	Gedicht: An eine Madonna	Poetry	FR	DE
